*Resp. Cost Center,*Project Type,WBS: Reporting WBS,WBS: Reporting WBS Desc.|Time: Fiscal Year.Period,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,2/1/2021,3/1/2021,4/1/2021,5/1/2021,6/1/2021,7/1/2021,8/1/2021,9/1/2021,10/1/2021,11/1/2021,12/1/2021,1/1/2022,2/1/2022,3/1/2022,4/1/2022,5/1/2022,6/1/2022,7/1/2022,8/1/2022,9/1/2022,10/1/2022,11/1/2022,12/1/2022,1/1/2023,2/1/2023,3/1/2023,4/1/2023,5/1/2023,6/1/2023,7/1/2023,8/1/2023,9/1/2023,10/1/2023,11/1/2023,12/1/2023,1/1/2024,2/1/2024,3/1/2024,4/1/2024,5/1/2024,6/1/2024,7/1/2024,8/1/2024,9/1/2024,10/1/2024,11/1/2024,12/1/2024,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025,Overall Result
  [+] Support Services,E,UGAS.00000151.01.01,PR DEFAULT IO-BASE CC686000-SUPPORT SVCS,95204.76058,95204.76058,95204.76058,95204.76058,95204.76058,95204.76058,95204.76058,95204.76058,95204.76058,95204.76058,95204.76058,-224204.4894,97717.51995,97717.51995,97717.51995,97717.51995,97717.51995,97717.51995,97717.51995,97717.51995,97717.51995,97717.51995,97717.51995,2759515.51,100776.3595,100776.3595,100776.3595,100776.3595,100776.3595,100776.3595,100776.3595,100776.3595,100776.3595,100776.3595,100776.3595,3388399.28,103851.1768,103851.1768,103851.1768,103851.1768,103851.1768,103851.1768,103851.1768,103851.1768,103851.1768,103851.1768,103851.1768,3450240.167,106966.7121,106966.7121,106966.7121,106966.7121,106966.7121,106966.7121,106966.7121,106966.7121,106966.7121,106966.7121,106966.7121,3486230.222,110175.7134,110175.7134,110175.7134,110175.7134,110175.7134,110175.7134,110175.7134,110175.7134,110175.7134,110175.7134,110175.7134,3527053.133,23148848.49
  [+] Support Services,E,UGAS.00000151.01.06,PR DEFAULT IO-BASE CC686021-MEAS&SYS OPS,55851.83583,55851.83583,55851.83583,55851.83583,55851.83583,55851.83583,55851.83583,55851.83583,55851.83583,55851.83583,55851.83583,55851.83583,57376.45313,57376.45313,57376.45313,57376.45313,57376.45313,57376.45313,57376.45313,57376.45313,57376.45313,57376.45313,57376.45313,57376.45313,59153.70891,59153.70891,59153.70891,59153.70891,59153.70891,59153.70891,59153.70891,59153.70891,59153.70891,59153.70891,59153.70891,59153.70891,60950.96917,60950.96917,60950.96917,60950.96917,60950.96917,60950.96917,60950.96917,60950.96917,60950.96917,60950.96917,60950.96917,60950.96917,62779.49825,62779.49825,62779.49825,62779.49825,62779.49825,62779.49825,62779.49825,62779.49825,62779.49825,62779.49825,62779.49825,62779.49825,64662.88319,64662.88319,64662.88319,64662.88319,64662.88319,64662.88319,64662.88319,64662.88319,64662.88319,64662.88319,64662.88319,64662.88319,4329304.182
  [+] Support Services,E,UGAS.00000151.01.07,PR DEFAULT IO-BASE CC686022-MARKETING,4082.199,4082.199,4082.199,4082.199,4082.199,4082.199,4082.199,4082.199,4082.199,4082.199,4082.199,4082.199,4189.571192,4189.571192,4189.571192,4189.571192,4189.571192,4189.571192,4189.571192,4189.571192,4189.571192,4189.571192,4189.571192,4189.571192,4320.854547,4320.854547,4320.854547,4320.854547,4320.854547,4320.854547,4320.854547,4320.854547,4320.854547,4320.854547,4320.854547,4320.854547,4452.745082,4452.745082,4452.745082,4452.745082,4452.745082,4452.745082,4452.745082,4452.745082,4452.745082,4452.745082,4452.745082,4452.745082,4586.327435,4586.327435,4586.327435,4586.327435,4586.327435,4586.327435,4586.327435,4586.327435,4586.327435,4586.327435,4586.327435,4586.327435,4723.917258,4723.917258,4723.917258,4723.917258,4723.917258,4723.917258,4723.917258,4723.917258,4723.917258,4723.917258,4723.917258,4723.917258,316267.3742
  [+] Support Services,E,Result,,155138.7954,155138.7954,155138.7954,155138.7954,155138.7954,155138.7954,155138.7954,155138.7954,155138.7954,155138.7954,155138.7954,-164270.4546,159283.5443,159283.5443,159283.5443,159283.5443,159283.5443,159283.5443,159283.5443,159283.5443,159283.5443,159283.5443,159283.5443,2821081.534,164250.923,164250.923,164250.923,164250.923,164250.923,164250.923,164250.923,164250.923,164250.923,164250.923,164250.923,3451873.843,169254.891,169254.891,169254.891,169254.891,169254.891,169254.891,169254.891,169254.891,169254.891,169254.891,169254.891,3515643.881,174332.5378,174332.5378,174332.5378,174332.5378,174332.5378,174332.5378,174332.5378,174332.5378,174332.5378,174332.5378,174332.5378,3553596.048,179562.5139,179562.5139,179562.5139,179562.5139,179562.5139,179562.5139,179562.5139,179562.5139,179562.5139,179562.5139,179562.5139,3596439.934,27794420.04
  [+] Distribution Operations,E,UGAS.00000151.01.03,PR DEFAULT IO-BASE CC686009-DISTR OPS,391341.2912,391341.2912,391341.2912,391341.2912,391341.2912,391341.2912,391341.2912,391341.2912,391341.2912,391341.2912,391341.2912,391341.2912,404064.6052,404064.6052,404064.6052,404064.6052,404064.6052,404064.6052,404064.6052,404064.6052,404064.6052,404064.6052,404064.6052,404064.6052,419248.9634,419248.9634,419248.9634,419248.9634,419248.9634,419248.9634,419248.9634,419248.9634,419248.9634,419248.9634,419248.9634,419248.9634,434554.0546,434554.0546,434554.0546,434554.0546,434554.0546,434554.0546,434554.0546,434554.0546,434554.0546,434554.0546,434554.0546,434554.0546,450090.6763,450090.6763,450090.6763,450090.6763,450090.6763,450090.6763,450090.6763,450090.6763,450090.6763,450090.6763,450090.6763,450090.6763,466093.3966,466093.3966,466093.3966,466093.3966,466093.3966,466093.3966,466093.3966,466093.3966,466093.3966,466093.3966,466093.3966,466093.3966,30784715.85
  [+] Distribution Operations,E,UGAS.00000151.01.04,PR DEFAULT IO-BASE CC686010-BUSINESS OPS,66335.73375,66335.73375,66335.73375,66335.73375,66335.73375,66335.73375,66335.73375,66335.73375,66335.73375,66335.73375,66335.73375,66335.73375,68080.53187,68080.53187,68080.53187,68080.53187,68080.53187,68080.53187,68080.53187,68080.53187,68080.53187,68080.53187,68080.53187,68080.53187,70213.88639,70213.88639,70213.88639,70213.88639,70213.88639,70213.88639,70213.88639,70213.88639,70213.88639,70213.88639,70213.88639,70213.88639,72357.10759,72357.10759,72357.10759,72357.10759,72357.10759,72357.10759,72357.10759,72357.10759,72357.10759,72357.10759,72357.10759,72357.10759,74527.82082,74527.82082,74527.82082,74527.82082,74527.82082,74527.82082,74527.82082,74527.82082,74527.82082,74527.82082,74527.82082,74527.82082,76763.65544,76763.65544,76763.65544,76763.65544,76763.65544,76763.65544,76763.65544,76763.65544,76763.65544,76763.65544,76763.65544,76763.65544,5139344.83
  [+] Distribution Operations,E,Result,,457677.0249,457677.0249,457677.0249,457677.0249,457677.0249,457677.0249,457677.0249,457677.0249,457677.0249,457677.0249,457677.0249,457677.0249,472145.1371,472145.1371,472145.1371,472145.1371,472145.1371,472145.1371,472145.1371,472145.1371,472145.1371,472145.1371,472145.1371,472145.1371,489462.8498,489462.8498,489462.8498,489462.8498,489462.8498,489462.8498,489462.8498,489462.8498,489462.8498,489462.8498,489462.8498,489462.8498,506911.1622,506911.1622,506911.1622,506911.1622,506911.1622,506911.1622,506911.1622,506911.1622,506911.1622,506911.1622,506911.1622,506911.1622,524618.4971,524618.4971,524618.4971,524618.4971,524618.4971,524618.4971,524618.4971,524618.4971,524618.4971,524618.4971,524618.4971,524618.4971,542857.052,542857.052,542857.052,542857.052,542857.052,542857.052,542857.052,542857.052,542857.052,542857.052,542857.052,542857.052,35924060.68
  [+] Engineering & Construction,E,UGAS.00000151.01.05,PR DEFAULT IO-BASE CC686011-ENG&INT MGT,73529.92325,73529.92325,73529.92325,73529.92325,73529.92325,73529.92325,73529.92325,73529.92325,73529.92325,73529.92325,73529.92325,73529.92325,75483.00017,75483.00017,75483.00017,75483.00017,75483.00017,75483.00017,75483.00017,75483.00017,75483.00017,75483.00017,75483.00017,75483.00017,77841.22684,77841.22684,77841.22684,77841.22684,77841.22684,77841.22684,77841.22684,77841.22684,77841.22684,77841.22684,77841.22684,77841.22684,80214.40071,80214.40071,80214.40071,80214.40071,80214.40071,80214.40071,80214.40071,80214.40071,80214.40071,80214.40071,80214.40071,80214.40071,82620.83273,82620.83273,82620.83273,82620.83273,82620.83273,82620.83273,82620.83273,82620.83273,82620.83273,82620.83273,82620.83273,82620.83273,85099.45771,85099.45771,85099.45771,85099.45771,85099.45771,85099.45771,85099.45771,85099.45771,85099.45771,85099.45771,85099.45771,85099.45771,5697466.097
  [+] FCG-Corporate Overheads,E,UGAS.00000152.01.30,LONG TERM INCENTIVE,14501.59009,17834.80683,23323.78337,22571.40326,23323.78337,22571.40326,23323.78337,23323.78337,22571.40326,23323.78337,22571.40326,34112.30687,29160.11472,24291.49494,24628.1955,23833.73758,24628.1955,23833.73758,24628.1955,24628.1955,23833.73758,24628.1955,23833.73758,35928.83356,19202.11416,21662.262,28764.32313,27836.44173,28764.32313,27836.44173,28764.32313,28764.32313,27836.44173,28764.32313,27836.44173,42247.26424,29342.18414,29342.18414,29342.18414,29342.18414,29342.18414,29342.18414,29342.18414,29342.18414,29342.18414,29342.18414,29342.18414,29342.18414,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,2006357.603
[-] Florida City Gas,E,UGAS.00000151.01.01,PR DEFAULT IO-BASE CC686000-SUPPORT SVCS,95204.76058,95204.76058,95204.76058,95204.76058,95204.76058,95204.76058,95204.76058,95204.76058,95204.76058,95204.76058,95204.76058,-224204.4894,97717.51995,97717.51995,97717.51995,97717.51995,97717.51995,97717.51995,97717.51995,97717.51995,97717.51995,97717.51995,97717.51995,2759515.51,100776.3595,100776.3595,100776.3595,100776.3595,100776.3595,100776.3595,100776.3595,100776.3595,100776.3595,100776.3595,100776.3595,3388399.28,103851.1768,103851.1768,103851.1768,103851.1768,103851.1768,103851.1768,103851.1768,103851.1768,103851.1768,103851.1768,103851.1768,3450240.167,106966.7121,106966.7121,106966.7121,106966.7121,106966.7121,106966.7121,106966.7121,106966.7121,106966.7121,106966.7121,106966.7121,3486230.222,110175.7134,110175.7134,110175.7134,110175.7134,110175.7134,110175.7134,110175.7134,110175.7134,110175.7134,110175.7134,110175.7134,3527053.133,23148848.49
[-] Florida City Gas,E,UGAS.00000151.01.03,PR DEFAULT IO-BASE CC686009-DISTR OPS,391341.2912,391341.2912,391341.2912,391341.2912,391341.2912,391341.2912,391341.2912,391341.2912,391341.2912,391341.2912,391341.2912,391341.2912,404064.6052,404064.6052,404064.6052,404064.6052,404064.6052,404064.6052,404064.6052,404064.6052,404064.6052,404064.6052,404064.6052,404064.6052,419248.9634,419248.9634,419248.9634,419248.9634,419248.9634,419248.9634,419248.9634,419248.9634,419248.9634,419248.9634,419248.9634,419248.9634,434554.0546,434554.0546,434554.0546,434554.0546,434554.0546,434554.0546,434554.0546,434554.0546,434554.0546,434554.0546,434554.0546,434554.0546,450090.6763,450090.6763,450090.6763,450090.6763,450090.6763,450090.6763,450090.6763,450090.6763,450090.6763,450090.6763,450090.6763,450090.6763,466093.3966,466093.3966,466093.3966,466093.3966,466093.3966,466093.3966,466093.3966,466093.3966,466093.3966,466093.3966,466093.3966,466093.3966,30784715.85
[-] Florida City Gas,E,UGAS.00000151.01.04,PR DEFAULT IO-BASE CC686010-BUSINESS OPS,66335.73375,66335.73375,66335.73375,66335.73375,66335.73375,66335.73375,66335.73375,66335.73375,66335.73375,66335.73375,66335.73375,66335.73375,68080.53187,68080.53187,68080.53187,68080.53187,68080.53187,68080.53187,68080.53187,68080.53187,68080.53187,68080.53187,68080.53187,68080.53187,70213.88639,70213.88639,70213.88639,70213.88639,70213.88639,70213.88639,70213.88639,70213.88639,70213.88639,70213.88639,70213.88639,70213.88639,72357.10759,72357.10759,72357.10759,72357.10759,72357.10759,72357.10759,72357.10759,72357.10759,72357.10759,72357.10759,72357.10759,72357.10759,74527.82082,74527.82082,74527.82082,74527.82082,74527.82082,74527.82082,74527.82082,74527.82082,74527.82082,74527.82082,74527.82082,74527.82082,76763.65544,76763.65544,76763.65544,76763.65544,76763.65544,76763.65544,76763.65544,76763.65544,76763.65544,76763.65544,76763.65544,76763.65544,5139344.83
[-] Florida City Gas,E,UGAS.00000151.01.05,PR DEFAULT IO-BASE CC686011-ENG&INT MGT,73529.92325,73529.92325,73529.92325,73529.92325,73529.92325,73529.92325,73529.92325,73529.92325,73529.92325,73529.92325,73529.92325,73529.92325,75483.00017,75483.00017,75483.00017,75483.00017,75483.00017,75483.00017,75483.00017,75483.00017,75483.00017,75483.00017,75483.00017,75483.00017,77841.22684,77841.22684,77841.22684,77841.22684,77841.22684,77841.22684,77841.22684,77841.22684,77841.22684,77841.22684,77841.22684,77841.22684,80214.40071,80214.40071,80214.40071,80214.40071,80214.40071,80214.40071,80214.40071,80214.40071,80214.40071,80214.40071,80214.40071,80214.40071,82620.83273,82620.83273,82620.83273,82620.83273,82620.83273,82620.83273,82620.83273,82620.83273,82620.83273,82620.83273,82620.83273,82620.83273,85099.45771,85099.45771,85099.45771,85099.45771,85099.45771,85099.45771,85099.45771,85099.45771,85099.45771,85099.45771,85099.45771,85099.45771,5697466.097
[-] Florida City Gas,E,UGAS.00000151.01.06,PR DEFAULT IO-BASE CC686021-MEAS&SYS OPS,55851.83583,55851.83583,55851.83583,55851.83583,55851.83583,55851.83583,55851.83583,55851.83583,55851.83583,55851.83583,55851.83583,55851.83583,57376.45313,57376.45313,57376.45313,57376.45313,57376.45313,57376.45313,57376.45313,57376.45313,57376.45313,57376.45313,57376.45313,57376.45313,59153.70891,59153.70891,59153.70891,59153.70891,59153.70891,59153.70891,59153.70891,59153.70891,59153.70891,59153.70891,59153.70891,59153.70891,60950.96917,60950.96917,60950.96917,60950.96917,60950.96917,60950.96917,60950.96917,60950.96917,60950.96917,60950.96917,60950.96917,60950.96917,62779.49825,62779.49825,62779.49825,62779.49825,62779.49825,62779.49825,62779.49825,62779.49825,62779.49825,62779.49825,62779.49825,62779.49825,64662.88319,64662.88319,64662.88319,64662.88319,64662.88319,64662.88319,64662.88319,64662.88319,64662.88319,64662.88319,64662.88319,64662.88319,4329304.182
[-] Florida City Gas,E,UGAS.00000151.01.07,PR DEFAULT IO-BASE CC686022-MARKETING,4082.199,4082.199,4082.199,4082.199,4082.199,4082.199,4082.199,4082.199,4082.199,4082.199,4082.199,4082.199,4189.571192,4189.571192,4189.571192,4189.571192,4189.571192,4189.571192,4189.571192,4189.571192,4189.571192,4189.571192,4189.571192,4189.571192,4320.854547,4320.854547,4320.854547,4320.854547,4320.854547,4320.854547,4320.854547,4320.854547,4320.854547,4320.854547,4320.854547,4320.854547,4452.745082,4452.745082,4452.745082,4452.745082,4452.745082,4452.745082,4452.745082,4452.745082,4452.745082,4452.745082,4452.745082,4452.745082,4586.327435,4586.327435,4586.327435,4586.327435,4586.327435,4586.327435,4586.327435,4586.327435,4586.327435,4586.327435,4586.327435,4586.327435,4723.917258,4723.917258,4723.917258,4723.917258,4723.917258,4723.917258,4723.917258,4723.917258,4723.917258,4723.917258,4723.917258,4723.917258,316267.3742
[-] Florida City Gas,E,UGAS.00000152.01.30,LONG TERM INCENTIVE,14501.59009,17834.80683,23323.78337,22571.40326,23323.78337,22571.40326,23323.78337,23323.78337,22571.40326,23323.78337,22571.40326,34112.30687,29160.11472,24291.49494,24628.1955,23833.73758,24628.1955,23833.73758,24628.1955,24628.1955,23833.73758,24628.1955,23833.73758,35928.83356,19202.11416,21662.262,28764.32313,27836.44173,28764.32313,27836.44173,28764.32313,28764.32313,27836.44173,28764.32313,27836.44173,42247.26424,29342.18414,29342.18414,29342.18414,29342.18414,29342.18414,29342.18414,29342.18414,29342.18414,29342.18414,29342.18414,29342.18414,29342.18414,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,30615.11522,2006357.603
[-] Florida City Gas,E,Result,,700847.3337,704180.5504,709669.527,708917.1468,709669.527,708917.1468,709669.527,709669.527,708917.1468,709669.527,708917.1468,401048.8005,736071.7962,731203.1765,731539.877,730745.4191,731539.877,730745.4191,731539.877,731539.877,730745.4191,731539.877,730745.4191,3404638.505,750757.1138,753217.2616,760319.3228,759391.4414,760319.3228,759391.4414,760319.3228,760319.3228,759391.4414,760319.3228,759391.4414,4061425.184,785722.6381,785722.6381,785722.6381,785722.6381,785722.6381,785722.6381,785722.6381,785722.6381,785722.6381,785722.6381,785722.6381,4132111.628,812186.9828,812186.9828,812186.9828,812186.9828,812186.9828,812186.9828,812186.9828,812186.9828,812186.9828,812186.9828,812186.9828,4191450.493,838134.1388,838134.1388,838134.1388,838134.1388,838134.1388,838134.1388,838134.1388,838134.1388,838134.1388,838134.1388,838134.1388,4255011.559,71422304.42
